Name,Type,Gender,Location,Sharing,"Cost (₹)","Food Quality (/5)",Parking,"Room Space","Electricity Bill","Overall Rating (/5)",Comments,Contributor,Phone
"Regal Vistas CoLiving",Co-Living,Male & Female,Madhapur,Two,15000,4,2-Wheeler,Spacious,Included,5,"Food is Good, Zepto warehouse is just beside. Only con is - only Airtel has good signal.",Anonymous,7207369966
"Exotica - Premium Living for Women",PG,Female Only,Kondapur,Two,16500,4,"2 & 4 Wheeler",Average,Separate,4,"Single share also available. Pros: Gym & Play Area, Lounge Area, Self Kitchen in Cafeteria, Fingerprint/Access Card Security. Cons: Sometimes Wi-Fi speed can be slow.",Anonymous,9088956789
"Asian Buzz PG",Co-Living,Male & Female,Gowlidoddy,Two,16000,3,2-Wheeler,Average,Separate,3,,Anonymous,9581553070
"Sri Kanaka Durga Luxury Men's PG",PG,Male Only,Kukatpally,Two,10000,2,2-Wheeler,Spacious,Included,3,"CCTV, Television, Good wifi speed, Nearby JNTU metro.",Anonymous,9000596431
"Vihari grand coliving",Co-Living,Male & Female,Madhapur,Two,15000,3,2-Wheeler,Spacious,Included,4,"Located in Ayyappa society, great locality. Transport available. Food is okayish. Rooms are spacious. Gym is available.",Anonymous,7989425496
"Vihari prime coliving",Co-Living,Male & Female,Kondapur,Two,15000,4,2-Wheeler,Average,Included,4,,Anonymous,7989425496
"Stanza Living Lublin House",Hostel,Male Only,Maisammaguda,Triple,8900,3,"4-Wheeler",Spacious,Included,2,"House maintenance is horrible. You have to do your own cleaning due to lack of workers and reckless management. The only option for students in nearby colleges.",SwimmingMix1064,8046007444
"VN Luxury PG",Co-Living,Male & Female,Gowlidoddy,Triple,8500,3,"2-Wheeler (Congested)",Spacious,Included,4,,Anonymous,9492123875
"Regal Vista Co Living",Co-Living,Male & Female,Madhapur,Single,25000,4,2-Wheeler,Spacious,Included,4,"Lunch is fixed (daal chawal). Rent is for NON-AC. For AC, it's 30k. Close to 100ft road with many eateries. Huge common space. Good Wifi.",Anonymous,7207369966
"Urban Castle (Alpha) Mens PG",PG,Male Only,Adibatla,Triple,7000,3,"2-Wheeler (Congested)",Spacious,Included,4,"Good Wifi speed and food is good most of the times. Thick buttermilk provided.",Anonymous,9441962896
